"var","vif"
"bio06",5372691152.37625
"bio07",3214736823.38632
"bio05",1412572895.86502
"bio11",7754.89069686771
"bio17",3380.97041362931
"bio19",3122.60105712523
"bio04",2609.98037651166
"bio01",1952.73333537522
"bio10",1578.84047145594
"bio02",1213.73506640297
"bio03",480.978628262655
"bio16",176.238880140014
"bio12",149.496946969704
"bio15",131.875012642275
"bio08",114.695389674683
"bio09",58.3993567375698
"bio14",56.7144930565784
"bio18",33.747210103041
"bio13",30.6986400115501
"dem",13.1967739778678
"ndvi",1.22970282417327
