taxon_group,class_la,gbif_key,gbif_rank,gbif_match,gbif_canon
-P,Actinopterygii,NA,NA,NONE,NA
-P,Chondrichthyes,NA,NA,NONE,NA
-P,Myxini,119,CLASS,EXACT,Myxini
-P,Petromyzontida,NA,NA,NONE,NA
AM,Amphibia,131,CLASS,EXACT,Amphibia
AV,Aves,212,CLASS,EXACT,Aves
IN,Collembola,10713444,CLASS,EXACT,Collembola
IN,Diplura,11374670,CLASS,EXACT,Diplura
IN,Insecta,216,CLASS,EXACT,Insecta
IN,Protura,11377931,CLASS,EXACT,Protura
IV,Adenophorea,NA,NA,NONE,NA
IV,Anthozoa,206,CLASS,EXACT,Anthozoa
IV,Aphanoneura,NA,NA,NONE,NA
IV,Arachnida,367,CLASS,EXACT,Arachnida
IV,Archiacanthocephala,253,CLASS,EXACT,Archiacanthocephala
IV,Asteroidea,214,CLASS,EXACT,Asteroidea
IV,Bivalvia,137,CLASS,EXACT,Bivalvia
IV,Branchiopoda,281,CLASS,EXACT,Branchiopoda
IV,Calcarea,308,CLASS,EXACT,Calcarea
IV,Caudofoveata,8066236,CLASS,EXACT,Caudofoveata
IV,Cephalopoda,136,CLASS,EXACT,Cephalopoda
IV,Cestoda,144,CLASS,EXACT,Cestoda
IV,Chilopoda,360,CLASS,EXACT,Chilopoda
IV,Chromadorea,11133537,CLASS,EXACT,Chromadorea
IV,Clitellata,255,CLASS,EXACT,Clitellata
IV,Copepoda,11545536,CLASS,EXACT,Copepoda
IV,Crinoidea,215,CLASS,EXACT,Crinoidea
IV,Cubozoa,176,CLASS,EXACT,Cubozoa
IV,Demospongiae,199,CLASS,EXACT,Demospongiae
IV,Diplopoda,361,CLASS,EXACT,Diplopoda
IV,Echinoidea,221,CLASS,EXACT,Echinoidea
IV,Enoplea,NA,NA,NONE,NA
IV,Enteropneusta,277,CLASS,EXACT,Enteropneusta
IV,Eurotatoria,307,CLASS,EXACT,Eurotatoria
IV,Eutardigrada,134,CLASS,EXACT,Eutardigrada
IV,Gastropoda,225,CLASS,EXACT,Gastropoda
IV,Gordioida,7188530,CLASS,EXACT,Gordioida
IV,Gymnolaemata,252,CLASS,EXACT,Gymnolaemata
IV,Heterotardigrada,247,CLASS,EXACT,Heterotardigrada
IV,Hexactinellida,146,CLASS,EXACT,Hexactinellida
IV,Holothuroidea,222,CLASS,EXACT,Holothuroidea
IV,Homoscleromorpha,5964034,CLASS,EXACT,Homoscleromorpha
IV,Hydrozoa,205,CLASS,EXACT,Hydrozoa
IV,Kinorhyncha,5959089,PHYLUM,EXACT,Kinorhyncha
IV,Lingulata,209,CLASS,EXACT,Lingulata
IV,Malacostraca,229,CLASS,EXACT,Malacostraca
IV,Merostomata,351,CLASS,EXACT,Merostomata
